8 degree,,,15 degree,,,45 degree,,,90 degree,,
Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm
0.02301,24.52,0.009808,0.02282,24.27,0.009708,0.02385,28.14,0.01407,0.02366,37.12,0.014848
0.02341,24.96,0.009984,0.02322,24.82,0.009928,0.02435,28.53,0.011412,0.02406,37.69,0.015076
0.02381,25.3,0.01012,0.02362,25.13,0.010052,0.02475,29.1,0.01164,0.02446,38.35,0.019175
0.02421,25.76,0.01288,0.02402,25.47,0.010188,0.02515,29.4,0.0147,0.02496,39.08,0.011724
0.02471,26.33,0.010532,0.02442,26.11,0.010444,0.02565,30.13,0.012052,0.02526,39.64,0.015856
0.02511,26.71,0.010684,0.02482,26.32,0.010528,0.02605,30.38,0.012152,0.02566,40.42,0.016168
0.02551,27.09,0.013545,0.02522,26.79,0.013395,0.02645,30.8,0.01232,0.02606,40.85,0.01634
0.02601,27.61,0.011044,0.02572,27.2,0.01088,0.02685,31.31,0.012524,0.02646,41.5,0.0166
0.02641,28.04,0.011216,0.02612,27.78,0.011112,0.02725,31.46,0.012584,0.02686,42.3,0.02115
0.02681,28.68,0.01434,0.02652,28.21,0.011284,0.02765,32.23,0.012892,0.02736,42.9,0.01287
0.02731,29.08,0.011632,0.02692,28.65,0.014325,0.02805,32.71,0.013084,0.02766,43.52,0.02176
0.02771,29.55,0.01182,0.02742,29.07,0.011628,0.02845,33.11,0.013244,0.02816,44.2,0.01768
0.02811,30.19,0.015095,0.02782,29.39,0.011756,0.02885,33.43,0.013372,0.02856,44.6,0.01784
0.02861,30.58,0.012232,0.02822,29.85,0.01194,0.02925,33.75,0.0135,0.02896,45.31,0.018124
0.02901,31.07,0.012428,0.02862,30.14,0.012056,0.02965,34.33,0.013732,0.02936,46.11,0.018444
0.02941,31.61,0.015805,0.02902,30.7,0.01535,0.03005,34.91,0.013964,0.02976,46.75,0.0187
0.02991,31.92,0.012768,0.02952,31.23,0.012492,0.03045,35.2,0.01408,0.03016,47.22,0.018888
0.03031,32.28,0.012912,0.02992,31.58,0.012632,0.03085,35.83,0.014332,0.03056,47.85,0.01914
0.03071,33.03,0.016515,0.03032,32.09,0.016045,0.03125,36.25,0.0145,0.03096,48.6,0.0243
0.03121,33.39,0.013356,0.03082,32.6,0.01304,0.03165,36.54,0.014616,0.03146,49.29,0.019716
0.03161,33.79,0.013516,0.03122,32.96,0.01648,0.03205,37,0.0148,0.03186,49.91,0.019964
0.03201,33.33,0.013332,0.03172,33.52,0.013408,0.03245,37.44,0.014976,0.03226,50.54,0.02527
0.03241,33.53,0.013412,0.03212,33.92,0.013568,0.03285,38.06,0.015224,0.03276,51.21,0.020484
0.03281,33.92,0.013568,0.03252,34.39,0.013756,0.03325,38.54,0.015416,0.03316,51.91,0.020764
0.03321,34.28,0.013712,0.03292,34.68,0.013872,0.03365,38.95,0.01558,0.03356,52.56,0.02628
0.03361,34.69,0.013876,0.03332,35.15,0.01406,0.03405,39.39,0.015756,0.03406,53.22,0.021288
0.03401,34.97,0.013988,0.03372,35.47,0.014188,0.03445,39.94,0.015976,0.03446,53.93,0.026965
0.03441,35.42,0.014168,0.03412,35.85,0.01434,0.03485,40.53,0.020265,0.03496,54.51,0.021804
0.03481,36.01,0.014404,0.03452,36.36,0.014544,0.03535,40.73,0.016292,0.03536,55.32,0.02766
0.03521,36.36,0.014544,0.03492,36.85,0.01474,0.03575,41.45,0.01658,0.03586,55.87,0.022348
0.03561,36.71,0.014684,0.03532,37.2,0.01488,0.03615,41.98,0.016792,0.03626,56.62,0.022648
0.03601,37.21,0.014884,0.03572,37.59,0.015036,0.03655,42.32,0.016928,0.03666,57.16,0.02858
0.03641,37.46,0.014984,0.03612,37.9,0.01516,0.03695,42.88,0.02144,0.03716,57.75,0.0231
0.03681,37.88,0.015152,0.03652,38.4,0.01536,0.03745,43.4,0.01736,0.03756,58.4,0.02336
0.03721,38.39,0.015356,0.03692,38.85,0.01554,0.03785,43.98,0.017592,0.03796,58.93,0.023572
0.03761,38.82,0.015528,0.03732,39.36,0.01968,0.03825,44.64,0.017856,0.03836,59.53,0.023812
0.03801,39.17,0.015668,0.03782,39.77,0.015908,0.03865,45.05,0.022525,0.03876,59.94,0.023976
0.03841,39.6,0.01584,0.03822,40.27,0.016108,0.03915,45.41,0.018164,0.03916,60.59,0.024236
0.03881,40.04,0.016016,0.03862,40.61,0.016244,0.03955,46.02,0.02301,0.03956,61.28,0.024512
0.03921,40.66,0.02033,0.03902,40.95,0.012285,0.04005,46.42,0.018568,0.03996,61.8,0.02472
0.03971,41.05,0.01642,0.03932,41.6,0.0208,0.04045,46.99,0.023495,0.04036,62.38,0.024952
0.04011,41.28,0.016512,0.03982,42.02,0.016808,0.04095,47.54,0.019016,0.04076,63.05,0.02522
0.04051,41.73,0.016692,0.04022,42.53,0.017012,0.04135,48.22,0.02411,0.04116,63.48,0.025392
0.04091,42.09,0.016836,0.04062,42.86,0.017144,0.04185,48.47,0.019388,0.04156,63.96,0.025584
0.04131,42.55,0.01702,0.04102,43.17,0.017268,0.04225,49.1,0.01964,0.04196,64.8,0.02592
0.04171,42.73,0.017092,0.04142,43.72,0.017488,0.04265,49.6,0.01984,0.04236,65.33,0.026132
0.04211,42.87,0.021435,0.04182,44.26,0.017704,0.04305,50,0.02,0.04276,65.83,0.026332
0.04261,43.39,0.017356,0.04222,44.73,0.022365,0.04345,50.42,0.020168,0.04316,66.47,0.019941
0.04301,43.76,0.017504,0.04272,45.06,0.018024,0.04385,50.87,0.025435,0.04346,66.9,0.03345
0.04341,44.09,0.022045,0.04312,45.48,0.018192,0.04435,51.23,0.020492,0.04396,67.43,0.026972
0.04391,44.1,0.01764,0.04352,45.96,0.02298,0.04475,51.74,0.020696,0.04436,68.2,0.02728
0.04431,43.82,0.02191,0.04402,46.54,0.018616,0.04515,52.08,0.020832,0.04476,68.64,0.027456
0.04481,39.16,0.015664,0.04442,46.96,0.018784,0.04555,52.48,0.020992,0.04516,69.43,0.027772
0.04521,37.66,0.01883,0.04482,47.51,0.019004,0.04595,53.04,0.021216,0.04556,69.84,0.027936
0.04571,37.8,0.01512,0.04522,47.97,0.019188,0.04635,53.28,0.021312,0.04596,70.54,0.028216
0.04611,38.06,0.015224,0.04562,48.28,0.028968,0.04675,54.13,0.021652,0.04636,71.11,0.028444
0.04651,38.54,0.01927,0.04622,48.7,0.01948,0.04715,54.37,0.021748,0.04676,71.54,0.028616
0.04701,38.95,0.01558,0.04662,49.36,0.019744,0.04755,54.82,0.021928,0.04716,72.39,0.028956
0.04741,39.79,0.015916,0.04702,49.77,0.019908,0.04795,55.32,0.022128,0.04756,73.01,0.029204
0.04781,40.1,0.01604,0.04742,50.29,0.025145,0.04835,55.62,0.022248,0.04796,73.48,0.029392
0.04821,40.39,0.016156,0.04792,50.7,0.02028,0.04875,56.11,0.022444,0.04836,73.99,0.036995
0.04861,40.91,0.016364,0.04832,51.26,0.02563,0.04915,56.64,0.022656,0.04886,74.89,0.029956
0.04901,41.33,0.016532,0.04882,51.62,0.020648,0.04955,56.92,0.022768,0.04926,75.44,0.030176
0.04941,41.91,0.016764,0.04922,51.96,0.015588,0.04995,57.44,0.022976,0.04966,76.1,0.03044
0.04981,42.34,0.016936,0.04952,52.28,0.02614,0.05035,57.92,0.023168,0.05006,76.64,0.03832
0.05021,42.7,0.01708,0.05002,52.94,0.021176,0.05075,58.42,0.023368,0.05056,77.24,0.030896
0.05061,43.23,0.017292,0.05042,53.24,0.021296,0.05115,58.96,0.02948,0.05096,77.93,0.031172
0.05101,43.42,0.017368,0.05082,53.53,0.021412,0.05165,59.36,0.023744,0.05136,78.69,0.039345
0.05141,43.96,0.017584,0.05122,53.98,0.021592,0.05205,59.84,0.023936,0.05186,79.29,0.031716
0.05181,44.34,0.017736,0.05162,54.37,0.021748,0.05245,60.23,0.024092,0.05226,80.02,0.04001
0.05221,44.68,0.017872,0.05202,54.92,0.016476,0.05285,60.6,0.02424,0.05276,80.74,0.032296
0.05261,45.07,0.018028,0.05232,55.2,0.0276,0.05325,61.13,0.024452,0.05316,81.29,0.040645
0.05301,45.54,0.018216,0.05282,55.51,0.016653,0.05365,61.71,0.030855,0.05366,81.96,0.032784
0.05341,46.02,0.018408,0.05312,55.83,0.027915,0.05415,62.14,0.024856,0.05406,82.54,0.033016
0.05381,46.3,0.01852,0.05362,56.18,0.022472,0.05455,62.62,0.025048,0.05446,83.11,0.033244
0.05421,46.8,0.01872,0.05402,56.54,0.022616,0.05495,63.15,0.031575,0.05486,83.52,0.033408
0.05461,47.08,0.02354,0.05442,56.96,0.022784,0.05545,63.46,0.025384,0.05526,84.34,0.033736
0.05511,47.42,0.018968,0.05482,57.36,0.022944,0.05585,64.08,0.03204,0.05566,84.88,0.033952
0.05551,48,0.0192,0.05522,57.83,0.023132,0.05635,64.55,0.02582,0.05606,85.37,0.034148
0.05591,48.13,0.019252,0.05562,58.17,0.023268,0.05675,64.95,0.032475,0.05646,86.14,0.034456
0.05631,48.49,0.019396,0.05602,58.53,0.023412,0.05725,65.34,0.026136,0.05686,86.81,0.034724
0.05671,48.65,0.01946,0.05642,58.96,0.023584,0.05765,66.07,0.026428,0.05726,87.26,0.034904
0.05711,49.02,0.019608,0.05682,59.39,0.023756,0.05805,66.46,0.03323,0.05766,87.76,0.035104
0.05751,49.28,0.019712,0.05722,59.66,0.023864,0.05855,66.9,0.02676,0.05806,88.37,0.035348
0.05791,49.78,0.019912,0.05762,59.98,0.023992,0.05895,67.3,0.03365,0.05846,89.03,0.035612
0.05831,50.13,0.025065,0.05802,60.5,0.0242,0.05945,67.78,0.027112,0.05886,89.71,0.035884
0.05881,50.43,0.020172,0.05842,60.99,0.030495,0.05985,68.37,0.027348,0.05926,90.1,0.03604
0.05921,50.94,0.020376,0.05892,61.24,0.024496,0.06025,68.65,0.02746,0.05966,90.72,0.036288
0.05961,51.38,0.02569,0.05932,61.58,0.024632,0.06065,69.13,0.027652,0.06006,91.25,0.0365
